number,date,title,length,inKey,tempo,topic,mood,location,instruments,beard,videoID,description,acousticProduced,firsts,comments,press,spotify,itunes,bandcamp,tags
366,1/1/2010,Happy New Year Everyone From the Mann Family Players,0:47,C#,112,Family,Happy,"Southington, CT","Baritone Uke, Vocals",CLEAN,https://www.youtube.com/watch?v=CcuaUmr8gnE,,,,,,,,,"Folk, FUN, New Years Day, Niece, Whole Family, Holiday"
367,1/2/2010,She's Taking Her First Steps,1.21,Eb,70,Family,Chill,"Southington, CT","Baritone Uke, Vocals",CLEAN,https://www.youtube.com/watch?v=CP9SdWImcNg,,,,,,,,,"Folk, DELICATE, Niece, Whole Family"
368,1/3/2010,www.tsowf.tumblr.com,1.38,C#,161,Wandering Fall,Excited,"Southington, CT","Baritone Uke, Vocals",SHADOW,https://www.youtube.com/watch?v=zTbTd7nACZQ,,,,,,,,,"FOLK, SILLY, WEBSITE"
369,1/4/2010,Tiny Wings,1.12,F,90,Wandering Fall,Chill,Berkeley,"Piano, Synths, Samples, Drum Machine",na,https://www.youtube.com/watch?v=Zcm6FOAqRt4,,,,,,,,,"ELECTRO, LIGHT SPACE"
370,1/5/2010,Little Masters of Time,0:53,F,120,Wandering Fall,Excited,Berkeley,"Piano, Samples, Drums",na,https://www.youtube.com/watch?v=uKyWvPx8TAw,,,,,,,,,"DOO WOP, CATCHY, TIME, SPACE"
371,1/6/2010,Mostly Water With Free Will,0:48,C,90,Wandering Fall,Chill,Berkeley,"Synths, Piano, Drum Machine",na,https://www.youtube.com/watch?v=wCzZvWopVBg,,,,,,,,,"ELECTRO, SPACE"
372,1/7/2010,"Hey, Hey I'm Over Here",0:56,A#,111,Wandering Fall,Intense,Berkeley,"Synths, Piano, Drum Machine",na,https://www.youtube.com/watch?v=hxQaS9p1fwg,,,,,,,,,"ROCK, WISTFUL, SPACE"
373,1/8/2010,Fall Suburbia,1:08,D,110,Wandering Fall,Chill,Berkeley,"Piano, Bass, Drums",na,https://www.youtube.com/watch?v=l2mdQ6y5wto,,,,,,,,,"Electro, Friend, SPACE"
374,1/9/2010,We Are Friends,0:53,A,125,Wandering Fall,Pensive,Berkeley,"Piano, Bass, Drums",na,https://www.youtube.com/watch?v=EQpPovv9zEg,,,,,,,,,"Doo Wop, Friend, SPACE"
375,1/10/2010,On Cows,0:16,G,127,Wandering Fall,INTENSE,Berkeley,"BANJO, BASS, DRUMS",NA,https://www.youtube.com/watch?v=dPZdgMUKY3M,,,,,,,,,"FOLK, COWS, SPACE"
376,1/11/2010,Wandering Together,1:02,G,100,Instrumental,CHILL,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",NA,https://www.youtube.com/watch?v=2otCPeEHOcU,,,,,,,,,"AMBIENT, DREAMY"
377,1/12/2010,"Something, Nothing",0:45,C,162,Wandering Fall,CHILL,Berkeley,"PIANO, SYNTHS, DRUMS",NA,https://www.youtube.com/watch?v=JLf0Q-DneCo,,,,,,,,,"ELECTRO, SPACE"
378,1/13/2010,An Explosion,0:46,E,123,Wandering Fall,INTENSE,Berkeley,"ACOUSTIC GUITAR, PIANO, DRUMS",NA,https://www.youtube.com/watch?v=9QgxAPQm6vc,,,,,,,,,"FOLK, SPACE"
379,1/14/2010,Solar Wind,0:54,B,168,Wandering Fall,HAPPY,Berkeley,"PIANO, ELECTRIC GUITAR, BASS, DRUMS",NA,https://www.youtube.com/watch?v=hzuMOIPSlzM,,,,,,,,,"ROCK, Fast, SPACE"
380,1/15/2010,Together Edge of the Universe,0:44,C,160,Wandering Fall,ANXIOUS,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",NA,https://www.youtube.com/watch?v=-on8X9RX1WI,,,,,,,,,"ELECTRO, SPACE"
381,1/16/2010,Trouble Approaching,0:46,D,100,Wandering Fall,ANXIOUS,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",NA,https://www.youtube.com/watch?v=pncuMQ-gXZU,,,,,,,,,"ELECTRO, SPACE"
382,1/17/2010,Doo Wop Ro Bot,2:08,C,108,Poetic,HAPPY,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",SHADOW,https://www.youtube.com/watch?v=5lmUBBcXals,,,,,,,,,"DOO WOP, LIGHT, SOULFUL, VOCODER, "
383,1/18/2010,My Friend Johnny Boyd is on the Show 24,1:22,D,88,Friend,EXCITED,Berkeley,"ORGAN, PIANO, DRUMS",SHADOW,https://www.youtube.com/watch?v=jKGVbuUT5p4,,,,,,,,,"ROCK, FUN, Friend, JOHN BOYD"
384,1/19/2010,She Loves Me,2:33,C,71,Poetic,CHILL,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",SHADOW,https://www.youtube.com/watch?v=22NiUJ13d2o,,,,,,,,,"DOO WOP, LIGHT, Love, SOULFUL, VOCODER, TIME"
385,1/20/2010,Rubber Deamons : Heathly Angels,1:49,A,100,Poetic,INTENSE,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",SHADOW,https://www.youtube.com/watch?v=UThUnpxLEhk,,,,,,,,,"DOO WOP, DARK, Love, SOULFUL, VOCODER, MYTH"
386,1/21/2010,Sore Throat,0:11,D,95,Sick,PENSIVE,Berkeley,"SYNTHS, DRUM MACHINE",SHADOW,https://www.youtube.com/watch?v=Iugfo39DPb8,,,,,,,,,"ELECTRO, DARK, DISTORTION, "
387,1/22/2010,Minstrel,1:41,G,99,Poetic,PENSIVE,Berkeley,"ACOUSTIC GUITAR, PIANO, DRUMS",SHADOW,https://www.youtube.com/watch?v=EUaM9GjJ_VE,,,,,,,,,"FOLK,WISTFUL, VOCODER, SOULFUL, MELODY"
388,1/23/2010,Who Will Remain (Acoustic Style),4:19,G,56,Politics,INTENSE,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=T4Gnaq438NU,,,,,,,,,"FOLK, DARK, SAD, ANTHEM"
389,1/24/2010,Tater Tots and Avacado Shakes,0:21,A,168,Life,SILLY,Berkeley,VOCALS,SHADOW,https://www.youtube.com/watch?v=4phVNIX9VF0,,,,,,,,,"ACAPELLA, FUN, FRIEND"
390,1/25/2010,Valentines Day With Groupon,2:03,F,121,Commission,SILLY,Berkeley,"PIANO, SYNTHS, DRUMS",CLEAN,https://www.youtube.com/watch?v=Itspbx-wEGk,,,,,,,,,"ELECTRO, BAD, COMPANY, GROUPON"
391,1/26/2010,Happy Birthday Sam Douglass,1:42,G,73,Friend,SILLY,Berkeley,"SYNTHS, DRUM MACHINE",CLEAN,https://www.youtube.com/watch?v=3KQV4zHzBig,,,,,,,,,"ELECTRO, WISTFUL, BIRTHDAY, Friend, SAM DOUGLASS"
392,1/27/2010,Coyote Hearing,1:54,A,102,Friend,SILLY,Berkeley,"ACOUSTIC GUITAR, ORGAN, DRUMS",CLEAN,https://www.youtube.com/watch?v=9z1f4V54sDE,,,,,,,,,"COUNTRY, FUN, COMPANY, COYOTE HEARING"
393,1/28/2010,A Man From the Future and the Original Louisiana Hot Sauce,1:24,F,122,Contest,SILLY,Berkeley,"SYNTHS, DRUM MACHINE",CLEAN,https://www.youtube.com/watch?v=mPweIAyNZfE,,,,,,,,,"ROCK, CHEESY, DISTORTION, CARNIVAL CRUISE"
394,1/29/2010,Let's Get Bloody,2:56,A,117,Poetic,INTENSE,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",SHADOW,https://www.youtube.com/watch?v=ZvwnSINKN_Y,,,,,,,,,"ELECTRO, DARK, LOOMING"
395,1/30/2010,Stratego,1:33,C,122,Nerd,SILLY,Berkeley,"BANJO, SYNTHS, BASS, DRUMS",SHADOW,https://www.youtube.com/watch?v=Q1xPDPToQqU,,,,,,,,,"ROCK, FUN, ANTHEM, BOARD GAME, STRATEGO"
396,1/31/2010,Patience,1:01,D,63,Poetic,PENSIVE,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=nK83SukkqK4,,,,,,,,,"FOLK, DELICATE, Life, SAD"
397,2/1/2010,iPage.com,2:15,D,136,Commission,SILLY,Berkeley,"PIANO, BASS, DRUMS",SHADOW,https://www.youtube.com/watch?v=LYOsbbvNrHM,,,,,,,,,"ROCK, BAD, SILLY, COMPANY, IPAGE"
398,2/2/2010,It's Just One of Those Days,1:02,G,103,Life,TIRED,Berkeley,"PIANO, DRUMS",na,https://www.youtube.com/watch?v=vG_5UBCQu3M,,,,,,,,,"BLUES, WISTUFL, DARK"
399,2/3/2010,COOP Theme Song Acoustic Style,2:44,D,89,Video Games,CHILL,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=2WJOVzae5A8,,,,,,,,,"FOLK, WISTFUL, Nerd, "
400,2/4/2010,Someday,4:13,C#,83,Politics,PENSIVE,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=u_NRsnEpNXg,,,,,,,,,"FOLK, WISTFUL, Nerd, APOCALYPSE"
401,2/5/2010,Link Mann Acoustic Style.,2:42,D,,Video Games,CHILL,Berkeley,ACOUSTIC GUITAR,na,https://www.youtube.com/watch?v=Jl3U5eq0vl8,,,,,,,,,"FOLK, WISTFUL, Nerd, LINK, ZELDA, FAIRY, OCTOROK"
402,2/6/2010,Ah Ah OOO Ah OOO,3:11,C,,Poetic,PENSIVE,Berkeley,ACOUSTIC GUITAR,CLEAN,https://www.youtube.com/watch?v=gvlhuRLepX8,,,,,,,,,"FOLK, WISTFUL"
403,2/7/2010,Animal Mind,5:26,E,,Animals,INTENSE,Berkeley,ACOUSTIC GUITAR,CLEAN,https://www.youtube.com/watch?v=-xYKFulssnk,,,,,,,,,"FOLK, WISTFUL, DARK, ANIMAL"
404,2/8/2010,Reuse! Compost! Recycle! the Song,1:02,C,108,PSA,SILLY,Berkeley,"Piano, Synths, Bass, Drums ",Shadow,https://www.youtube.com/watch?v=BhVu5J0mmI0,It's up to us to reduce the amount of waste we produce. Here's a little ditty describing 4 easy ways you can help. www.epa.com/recycle,Produced ,,,,,,,"Rock, Cheesy, Silly, Recylcing, Plastic Bags, Reusable bags"
405,2/9/2010,Got My Red Robe On,:50,B,120,Life,SILLY,Berkeley,ACOUSTIC GUITAR,Shadow,https://www.youtube.com/watch?v=47Z_skegMgw,i got my red robe on and i'm singing a song and i'm singing just for you i got my red robe on and i'm sining a song and i'm singing just for you when the robe comes off then you better be ready we'll fly off to the moon when the robe comes off we'll find our way back home by the light of a silver spoon,Acoustic ,,,,,,,"Folk, Bad, Raunchy, My Appearance "
406,2/10/2010,Waiting for God to Call,2:50,E,100,Poetic,SAD,Berkeley,"Acoustic Guitar, Bass, Drums",Shadow,https://www.youtube.com/watch?v=3t8LFs1E0JU,"in a cave there lives a man alone silently staring at the phone waiting for god to call but god won't call at all next to the man a cat sits purring outside the cave the day is stirring the day is new, the day is great and still the man just sits and waits the man has children they bring him food he has 7 wives depending on his mood the wives come to him each in turn and turned away with no concern their love doesn't mean a thing when any minute the phone could ring though the world has seen joy and tears he has sat for 30 thousand years and he'll sit there till the end comes rushing forth, a long hot wind",Produced ,,,,,,,"Folk, Sad, Myth, God"
407,2/11/2010,Please Stop,2:50,C,119,Poetic,INTENSE,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=2hNq3UoDZ5I,,,,,,,,,"ELECTRO, DARK"
408,2/12/2010,Happy Birthday Sanae! Again,1:07,C,50,Friend,CHILL,Berkeley,"PIANO, BASS, DRUMS, STYLOPHONE",SHADOW,https://www.youtube.com/watch?v=-98zjVMoRjU,,,,,,,,,"BLUES, NARRATIVE, BIRTHDAY"
409,2/13/2010,On Valentines Day,2:30,F,51,Love,PENSIVE,Berkeley,UKULELE,SHADOW,https://www.youtube.com/watch?v=-LIfo7sCQdI,,,,,,,,,"FOLK, DELICATE, DREAMY"
410,2/14/2010,"Snakes Are, Aren't Scary",0:20,C,100,Animals,SILLY,Berkeley,VOCALS,SHADOW,https://www.youtube.com/watch?v=aL3j7fpTVcU,,,,,,,,,"ACAPELLA, FUN, Friend, SNAKES"
411,2/15/2010,I Wanna Know Everyone,3:56,C,136,Poetic,EXCITED,Berkeley,"ACOUSTIC GUITAR, BASS, UKULELE, DRUMS",SHADOW,https://www.youtube.com/watch?v=i3qPwUc9Fr0,,,,,,,,,"FOLK, CHEESY, WISTFUL, FUN, SILLY, SOULFUL"
412,2/16/2010,Giving It All That I Have Got,3:24,C,77,Poetic,CHILL,Berkeley,UKULELE,SHADOW,https://www.youtube.com/watch?v=IbjXYnt6OXY,,,,,,,,,"FOLK, WISTFUL, DELICATE"
413,2/17/2010,The Whiskey Android,3:24,C,111,Nerd,ANGRY,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=DuyfJ-ckK54,,,,,,,,,"FOLK, NARRATIVE, SOULFUL, ROBOT, WHISKEY"
414,2/18/2010,Socialbuy.com,1:57,D,129,Commission,SILLY,Berkeley,"PIANO, ORGAN, BASS, ACOUSTIC GUITAR, DRUMS",SHADOW,https://www.youtube.com/watch?v=Hf27JCZHFQE,,,,,,,,,"ROCK, CHEESY, SILLY, DREAMY"
415,2/19/2010,This Much I Know,2:43,G#,89,Poetic,SAD,Los Angeles,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=Klkoxo1NKYk,,,,,,,,,"FOLK, WISTFUL, SOULFUL"
416,2/20/2010,Can't Fly,3:04,D,57,Animals,INTENSE,Los Angeles,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=ZnT6mOixzfU,,,,,,,,,"FOLK, DARK, WISTFUL, SOULFUL, BIRDS, CHICKENS, PENGUINS"
417,2/21/2010,I Kind of Want An iPad,1:37,D,98,Apple,EXCITED,Los Angeles,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=-ZSWx_KCq9E,,,,,,,,,"FOLK, WISTFUL, SILLY, IPAD"
418,2/22/2010,"Fuck You, Day",0:47,E,147,Life,ANGRY,Berkeley,"PIANO, ACOUSTIC GUITAR, DRUMS",SHADOW,https://www.youtube.com/watch?v=FMJ_7XxmeJA,,,,,,,,,"FOLK, SILLY, TIME"
419,2/23/2010,The Robin Hood Tax,2:33,G,81,Politics,INTENSE,Berkeley,"PIANO, BASS, ORGAN, DRUMS",SHADOW,https://www.youtube.com/watch?v=x9yh9Sfw47A,,,,,,,,,"ROCK, CHEESY, HOPEFUL, ROBIN HOOD, TAXES"
420,2/24/2010,Ringtone for EÃ³in Fay,0:34,D,121,Ringtone,EXCITED,Berkeley,"PIANO, BASS, DRUMS",SHADOW,https://www.youtube.com/watch?v=PJsKSKZYlJw,,,,,,,,,"ROCK, DISTORTION, FUN, RINGTONE"
421,2/25/2010,Double Take,4:42,E,160,Poetic,INTENSE,Berkeley,"UKULELE, BASS, DRUMS",na,https://www.youtube.com/watch?v=sXX2QO7joq4,,,,,,,,,"ROCK, DARK, LOOMING, 80s, MYTH"
422,2/26/2010,Don't/Just Give It Away,1:05,G,85,Poetic,SILLY,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=T2A9KRDjVEw,,,,,,,,,"ELECTRO, CHEESY, SILLY, 80s, CATCHY"
423,2/27/2010,The Wonders of the Mighty Powerstrip,1:54,D,161,Contest,SILLY,Berkeley,"ORGAN, ELECTRIC GUITAR,  DRUM MACHINE",SHADOW,https://www.youtube.com/watch?v=k8e5TzTy6l4,,,,,,,,,"ROCK, CHEESY, FUNNY, PSA"
424,2/28/2010,Lonesome Valley,4:20,D,?,Traditional,PENSIVE,Berkeley,ELECTRIC GUITAR,CLEAN,https://www.youtube.com/watch?v=MrG7nynACRI,,,,,,,,,"FOLK, DELICATE, TRADITIONAL"
425,3/1/2010,How is the World Different? Because of you,2:07,A,72,Contest,PENSIVE,Berkeley,"PIANO, BASS, DRUMS",CLEAN,https://www.youtube.com/watch?v=6V34kJ27v7o,,,,,,,,,"ROCK, DELICATE, WISTFUL, SOULFUL, HOPEFUL, MELODY"
426,3/2/2010,The Big Thaw With Groupon,1:11,C,140,Commission,SILLY,Berkeley,"ACOUSTIC GUITAR, BASS, ORGAN, DRUMS",CLEAN,https://www.youtube.com/watch?v=tYgtlFzRhpM,,,,,,,,,"ROCK, CHEESY, GROUPON"
427,3/3/2010,Those Gaming Guys,0;57,D,109,Video Games,SILLY,Berkeley,"SYNTHS, DRUM MACHINE",SHADOW,https://www.youtube.com/watch?v=ijjAHGrl7OE,,,,,,,,,"ELECTRO, CHEESY, FUNNY, GAMING GUYS"
428,3/4/2010,Ben and Jerry's,0:31,C,128,Contest,SILLY,Berkeley,"ACOUSTIC GUITAR, BASS, CLAPS",na,https://www.youtube.com/watch?v=SM4Jay69fgQ,,,,,,,,,"COUNTRY, FUN, COMPANY, BEN AND JERRY'S COWS, CANADA"
429,3/5/2010,Juice An Onion,1:00,D#,56,Sick,TIRED,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=OsOxHOnKHuI,,,,,,,,,"FOLK, SILLY, FRUSTRATED"
430,3/6/2010,BarnOwl,3:08,F#,122,Improv,BORED,Berkeley,ACOUSTIC GUITAR,na,https://www.youtube.com/watch?v=tizQAkB69lE,,,,,,,,,"FOLK, LIGHT, NARRATIVE"
431,3/7/2010,ISM,4:30,A,115,Improv,SILLY,Berkeley,ACOUSTIC GUITAR,na,https://www.youtube.com/watch?v=C5jHeU9Gj0Y,,,,,,,,,"FOLK, SILLY"
432,3/8/2010,In the Rain,2:24,D,120,Instrumental,CHILL,Berkeley,"PIANO, ACOUSTIC GUITAR, DRUMS",na,https://www.youtube.com/watch?v=uVZ3W1VY6Ko,,,,,,,,,"FOLK, DREAMY"
433,3/9/2010,Train,2:20,D,92,Poetic,PENSIVE,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=prv8xX5mbVQ,,,,,,,,,"FOLK, DREAMY, TRAINS"
434,3/10/2010,Recollect,2:28,E,91,Poetic,INTENSE,Berkeley,"PIANO, BASS, ELECTRIC GUITAR, DRUMS",SHADOW,https://www.youtube.com/watch?v=q7HHkaOdR7o,,,,,,,,,"ROCK, HEAVY, LOOMING, DARK"
435,3/11/2010,BCCthis,1:27,C,118,Commission,SILLY,Berkeley,"PIANO, BASS, ACOUSTIC GUITAR, DRUMS",CLEAN,https://www.youtube.com/watch?v=cmdZKUNUDIg,,,,,,,,,"ROCK, CHEESY, BAD, EMAIL, COMPANY, BCCTHIS"
436,3/12/2010,"Well, Well, Well",2:50,C,93,Traditional,INTENSE,Berkeley,ACOUSTIC GUITAR,CLEAN,https://www.youtube.com/watch?v=i9N4ygO63-o,,,,,,,,,"FOLK, TRADITIONAL, MYTH"
437,3/13/2010,I Was a Dancing Bear,4:11,E,89,Improv,CHILL,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=0IDsJygzHbo,,,,,,,,,"FOLK, TRADITIONAL, CHEESY"
438,3/14/2010,The Legend of Jonathan,0:37,E,89,Video Games,SILLY,Berkeley,ACOUSTIC GUITAR,CLEAN,https://www.youtube.com/watch?v=Gh8IvSwYUmU,,,,,,,,,"FOLK, FUNNY, ZELDA"
439,3/15/2010,Dancing in the Round,1:35,G,52,Poetic,PENSIVE,"Jupiter, FL",BARITONE UKE,CLEAN,https://www.youtube.com/watch?v=U4yEHjosdn0,,,,,,,,,"FOLK, LIGHT"
440,3/16/2010,Robot Ninja Zombie Bear,1:44,A,168,Nerd,SILLY,"Jupiter, FL",BARITONE UKE,SHADOW,https://www.youtube.com/watch?v=STZxpWL_nPw,,,,,,,,,"FOLK, DISTORTION, Animals, ROBOT, NINJA, ZOMBIE, BEAR"
441,3/17/2010,Florida Animal Safari Happy Fun Danger Whoa!,1:27,E,110,Animals,SILLY,"Jupiter, FL","BARITONE UKE, SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=hygon5mto0A,,,,,,,,,"FOLK, ANIMAL, FLORIDA, SAFARI, OSTRICH, RHINO, ZEBRA, GIRAFFE, WILDABEASTS, LION"
442,3/18/2010,Singing in the Wind,1:37,G,179,Poetic,SILLY,"Jupiter, FL","BARITONE UKE, DRUM MACHINE",na,https://www.youtube.com/watch?v=jDGDH6zZJ5A,,,,,,,,,"FOLK, LIGHT, NATURE, WIND"
443,3/19/2010,Airport Song #2,1:09,G,68,Airport,TIRED,"Jupiter, FL",BARITONE UKE,SHADOW,https://www.youtube.com/watch?v=puT06JNFQcc,,,,,,,,,"FOLK, WISTFUL"
444,3/20/2010,Kate Mginity Birthday Song,1:14,D,87,Friend,CHILL,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=i0W4ERfIShA,,,,,,,,,"FOLK, WISTFUL, DELICATE, BIRTHDAY, KATE MGINITY"
445,3/21/2010,The Way You Are,2:37,C,74,Grandma,CHILL,Berkeley,"ACOUSTIC GUITAR, DRUMS",SHADOW,https://www.youtube.com/watch?v=6aF2nglxmhM,,,,,,,,,"FOLK, DELICATE, WISTFUL, SAD"
446,3/22/2010,Aflac,1:23,A,76,Contest,SILLY,Berkeley,"ACOUSTIC GUITAR, BASS, ELECTRIC GUITAR, DRUMS",SHADOW,https://www.youtube.com/watch?v=rPA4ar_GFKA,,,,,,,,,"FOLK, DELICATE, COMPANY, AFLAC"
447,3/23/2010,42Below,0:42,C,113,Contest,SILLY,Berkeley,"ACOUSTIC GUITAR, SYNTH, BASS, DRUMS",SHADOW,https://www.youtube.com/watch?v=RswKFjp5Z4Q,,,,,,,,,"ROCK, CHEESY, FUNNY, COMPANY, 42BELOW"
448,3/24/2010,Don't Get Angry,4:37,C,50,Improv,CHILL,Berkeley,PIANO,na,https://www.youtube.com/watch?v=Bs7z9IoootE,,,,,,,,,"ROCK, FUNNY"
449,3/25/2010,Zach and Cloe,2:35,G#,99,Chat Roulette,EXCITED,Berkeley,"ACOUSTIC GUITAR, ELECTRIC GUITAR, BASS, DRUM",SHADOW,https://www.youtube.com/watch?v=ETPiWg-3BSE,,,,,,,,,"ROCK, GOOD, 80s, ANTHEM, SOULFUL, ZACH, CLOE"
450,3/26/2010,Sleepy Mustache Man,1:54,F#,100,Chat Roulette,EXCITED,Berkeley,"ACOUSTIC GUITAR, BASS, DRUMS",SHADOW,https://www.youtube.com/watch?v=lE7ioku7Yxk,,,,,,,,,"FOLK, SILLY"
451,3/27/2010,In the Land of Chatroulette (The definitive Chatroulette song),3:16,C,131,Chat Roulette,INTENSE,Berkeley,"PIANO, ELECTRIC GUITAR, SYNTHS, DRUMS",CLEAN,https://www.youtube.com/watch?v=fC_dypnK9kI,,,,,,,,,"ROCK, FUN, WISTFUL"
452,3/28/2010,Front and Center,4:38,E,90,Love,PENSIVE,Berkeley,ELECTRIC GUITAR,CLEAN,https://www.youtube.com/watch?v=v9ou2BDhdYU,,,,,,,,,"ROCK, WISTFUL, DELICATE"
